class_index,class_name,mIoU_bidirectional,mIoU_forward_only,delta
0,abe's_flyingfish,86.47,88.53,-2.06
1,accordion,88.62,87.24,+1.38
2,american_alligator,92.04,91.34,+0.70
3,american_chamelon,90.53,90.86,-0.33
4,andean_condor,92.30,43.35,+48.95
5,anise,83.44,83.62,-0.18
6,apple_icon,93.31,26.14,+67.17
7,arch_bridge,81.96,57.73,+24.23
8,arrow,76.26,49.25,+27.01
9,astronaut,81.47,92.84,-11.37
10,australian_terrier,93.41,89.52,+3.89
11,bamboo_dragonfly,79.50,44.88,+34.62
12,bamboo_slip,64.89,67.07,-2.18
13,banana_boat,86.89,83.96,+2.93
14,barber_shaver,92.51,94.84,-2.33
15,bat,85.55,85.21,+0.34
16,bath_ball,96.34,95.81,+0.53
17,beet_root,68.61,73.95,-5.34
18,bell_pepper,82.95,76.73,+6.22
19,big_ben,81.30,82.41,-1.11
